date,continent,city,theme,is_global,importance
2024-10-13,Europe,Rome,Health and Pandemics,True,0.32
2024-10-04,Oceania,Auckland,Technology Advancements,True,0.35
2024-09-18,Europe,London,Champions League,False,0.16
2024-10-14,Oceania,Melbourne,Climate Change,True,0.77
2024-10-01,Africa,Johannesburg,Nile River,False,0.74
2024-10-08,Europe,London,International Relations,True,0.63
2024-10-01,Africa,Casablanca,Nile River,False,0.63
2024-09-29,Europe,Paris,Space Exploration,True,0.67
2024-10-14,Asia,Tokyo,Artificial Intelligence,True,0.2
2024-09-27,Africa,Lagos,International Relations,True,0.26
2024-10-02,North America,Mexico City,Silicon Valley,False,0.93
2024-10-06,South America,Bogotá,Amazon Rainforest,False,0.39
2024-09-25,Asia,Bangkok,Silk Road,False,0.56
2024-10-05,Africa,Lagos,Space Exploration,True,0.61
2024-09-25,Oceania,Auckland,Health and Pandemics,True,0.28
2024-10-13,Europe,Berlin,Art Exhibitions,False,0.92
2024-10-04,North America,New York,NFL,False,0.95
2024-09-23,Asia,Seoul,Climate Change,True,0.71
2024-10-11,North America,Chicago,Wall Street,False,0.57
2024-10-02,South America,Lima,International Relations,True,0.17
2024-09-26,Asia,Bangkok,Space Exploration,True,0.91
2024-09-25,Oceania,Auckland,Outback,False,0.59
2024-09-25,Oceania,Brisbane,Technology Advancements,True,0.64
2024-09-23,North America,Los Angeles,Silicon Valley,False,0.36
2024-09-19,Europe,Berlin,Technology Advancements,True,0.31
2024-10-03,North America,Los Angeles,Silicon Valley,False,0.89
2024-09-27,Europe,London,Royal Families,False,0.83
2024-09-25,Asia,Shanghai,Global Economy,True,0.87
2024-09-18,South America,Bogotá,Space Exploration,True,0.85
2024-09-18,Africa,Johannesburg,Wildlife Conservation,False,0.99
2024-09-20,Asia,Shanghai,Global Economy,True,0.4
2024-09-21,North America,Toronto,Wall Street,False,0.47
2024-09-19,Africa,Cairo,Sahara Desert,False,0.95
2024-10-09,Asia,Mumbai,Silk Road,False,0.24
2024-10-05,Europe,Madrid,European Union,False,0.8
2024-10-16,South America,Lima,Cybersecurity,True,0.64
2024-09-24,Africa,Casablanca,Sahara Desert,False,0.32
2024-09-24,Europe,Madrid,Climate Change,True,0.29
2024-09-25,Africa,Lagos,Artificial Intelligence,True,0.62
2024-10-15,North America,Toronto,Silicon Valley,False,0.95
2024-09-28,Asia,Mumbai,Silk Road,False,0.3
2024-10-13,North America,New York,Hollywood,False,0.77
2024-09-17,Africa,Johannesburg,Sahara Desert,False,0.65
2024-09-20,Africa,Lagos,Nile River,False,0.89
2024-09-19,Africa,Nairobi,African Union,False,0.46
2024-10-08,Africa,Johannesburg,Global Economy,True,0.68
2024-09-30,Africa,Johannesburg,Wildlife Conservation,False,0.5
2024-10-06,Asia,Bangkok,K-pop,False,0.56
2024-10-13,South America,Lima,Global Economy,True,0.44
2024-10-04,South America,Lima,Latin Music,False,0.7
2024-10-10,Europe,London,Art Exhibitions,False,0.62
2024-09-23,Asia,Seoul,Bollywood,False,0.15
2024-10-14,Africa,Casablanca,Sahara Desert,False,0.51
2024-10-03,Europe,London,European Union,False,0.77
2024-10-01,Asia,Tokyo,Sumo Wrestling,False,0.8
2024-10-05,South America,Santiago,Carnival,False,0.7
2024-10-07,Oceania,Brisbane,Climate Change,True,0.66
2024-10-16,Europe,London,European Union,False,0.73
2024-09-19,Europe,Rome,Royal Families,False,0.2
2024-10-17,Asia,Seoul,Great Wall,False,0.53
2024-10-04,South America,Santiago,International Relations,True,0.27
2024-09-29,Europe,Paris,International Relations,True,0.77
2024-10-13,Oceania,Perth,Indigenous Rights,False,0.42
2024-10-03,Oceania,Melbourne,Indigenous Rights,False,0.6
2024-09-17,Europe,Berlin,International Relations,True,0.36
2024-10-02,South America,Buenos Aires,Latin Music,False,0.39
2024-10-01,Europe,Paris,European Union,False,0.64
2024-10-04,Oceania,Perth,Outback,False,0.3
2024-10-06,South America,Bogotá,Soccer,False,0.18
2024-10-06,South America,São Paulo,Andes Mountains,False,0.66
2024-10-12,Asia,Mumbai,International Relations,True,0.79
2024-09-23,South America,Bogotá,Technology Advancements,True,0.17
2024-09-19,Africa,Casablanca,Sahara Desert,False,0.52
2024-09-30,Oceania,Auckland,Great Barrier Reef,False,0.64
2024-09-25,Asia,Shanghai,K-pop,False,0.7
2024-09-17,Oceania,Auckland,Global Trade,True,0.66
2024-10-15,North America,Los Angeles,Wall Street,False,0.12
2024-10-05,Oceania,Perth,Indigenous Rights,False,0.41
2024-10-11,Europe,Berlin,Brexit,False,0.85
2024-09-23,Oceania,Auckland,Kangaroos,False,0.36
2024-10-13,Africa,Johannesburg,Safaris,False,0.9
2024-10-13,Asia,Bangkok,Great Wall,False,0.4
2024-10-16,South America,Lima,Health and Pandemics,True,0.25
2024-10-12,Oceania,Perth,International Relations,True,0.76
2024-10-02,Asia,Bangkok,Bollywood,False,0.87
2024-10-05,North America,Toronto,NFL,False,0.65
2024-09-25,Oceania,Auckland,Artificial Intelligence,True,0.63
2024-09-27,Europe,Madrid,Royal Families,False,0.61
2024-09-28,South America,Santiago,Artificial Intelligence,True,0.78
2024-10-17,Asia,Shanghai,Silk Road,False,0.35
2024-09-30,Oceania,Melbourne,Technology Advancements,True,0.52
2024-09-26,Europe,Paris,Champions League,False,0.99
2024-09-26,North America,Mexico City,Global Economy,True,0.62
