document_id,cluster
 from $639m year-earlier.  The firm,6
 so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,6
 the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. Rod Eddington,6
 but has yet to contact its target. Allied Domecq shares in London rose 4% by 1200 GMT,9
 figures show.  Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter. On an annual basis,6
 which attends the G7 meeting of seven leading industrialised nations on Friday,6
 cancellations or flight delays can now demand greater compensation.  New EU rules set compensation at between 250 euros (£173) and 600 euros,6
 the Italian food group at the centre of one of Europe's most painful corporate scandals,6
 up from a close of 43.41. The currency has gained almost 1% in the past three sessions. S&P,9
" said Mr Maran. The decision to raise the limit for foreign investors faced considerable opposition from the communist parties, which give crucial support to the coalition headed by Prime Minister Manmohan Singh. Potential foreign investors will however need government approval before they increase their stake beyond 49%, Mr Maran said. Key positions, such as those of chief executive, chief technology officer and chief financial officer are to be held by Indians, he added.  Analysts and investors have welcomed the government decision. It is a positive development for carriers and the investment community",4
 reports claim.  Rank,6
000 in November to 4.464 million people,6
 official figures show - but still looks set to have fallen short of the government's hopes.  According to state statistics body INSEE,6
 latest figures show.  The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn. The deficit with China,6
000 vehicles in the US on safety grounds,6
000 jobs	 Mittal Steel,6
 although world's major economies should weather the storm of price rises,6
 with investors persuaded to buy into the market by low inflation and strong growth forecasts.  The ISEQ index of leading shares closed up 23 points to 6661.89 on Thursday,6
 enabling the latter to merge with Mitsubishi Tokyo.  Sumitomo bosses told counterparts at UFJ of its decision on Friday,6
 a study has found.  A total of 24.2 trillion pesos ($10.2bn; £5.5bn) is earmarked for subsidies for the poor,6
 part of the US clean-up after corporate scandals such as Enron and Worldcom. Section 404 of the Sox Act,6
 a dramatic change from the loss of 364m euros in 2003. Sales rose 2.8% to 14.96bn euros. Sales of stakes in firms including Russia's OAO Mobile Telesystems raised 1.17bn euros. This was more than expected and helped to bring debt down to 35.8bn euros.  A year ago,6
" such as increasing taxes. While the US economy is growing at a ""reasonably good pace"" he warned that budget concerns were clouding the economic outlook for the US. Pension and healthcare costs posed the greatest risks to the economy",6
" industrial action and ""operating flaws"" at its deep mines for its worsening fortunes. The South Yorkshire company",9
 and follows similar falls in GDP in the two previous quarters. The Tokyo stock market fell after the figures were announced,6
 casting further doubt on the strength of the country's economic recovery.  Production dropped 1.6% in October,6
 mainly due to the weakness of the dollar,6
000 cars a year. This will boost the annual production capacity of the company - India's second-largest car manufacturer - to 400,6
 the world's largest maker of home appliances,9
 WorldCom's ex-head of internal accounting,9
 official figures show.  The number of people out of work rose 32,6
 which is building the new Wembley stadium,6
 double the time that had been expected,1
 including a tax on jet fuel,6
